character_name,character_speech
helmer ,"['nej', 'visst', 'kunde', 'du', 'ikke', 'min', 'stakkers', 'lille', 'nora', 'du', 'havde', 'den', 'bedste', 'vilje', 'til', 'at', 'glæde', 'os', 'alle', 'og', 'det', 'er', 'hovedsagen', 'men', 'det', 'er', 'dog', 'godt', 'at', 'de', 'knebne', 'tider', 'er', 'forbi']"
nora ,"['ja', 'det', 'er', 'rigtignok', 'vidunderligt']"
helmer ,"['nu', 'behøver', 'ikke', 'jeg', 'at', 'sidde', 'her', 'alene', 'og', 'kede', 'mig', 'og', 'du', 'behøver', 'ikke', 'at', 'plage', 'dine', 'vel', 'signede', 'øjne', 'og', 'dine', 'små', 'skære', 'fine', 'hænder', '–']"
nora ,"['nej', 'ikke', 'sandt', 'torvald', 'det', 'behøves', 'ikke', 'længer', 'å', 'hvor', 'det', 'er', 'vidunderlig', 'dejligt', 'at', 'høre', 'nu', 'skal', 'jeg', 'sige', 'dig', 'hvorledes', 'jeg', 'havde', 'tænkt', 'vi', 'skulde', 'indrette', 'os', 'torvald', 'så', 'snart', 'julen', 'er', 'over', '–', 'å', 'der', 'ringer', 'det', 'her', 'kommer', 'visst', 'nogen', 'det', 'var', 'da', 'kedeligt']"
helmer ,"['for', 'visiter', 'er', 'jeg', 'ikke', 'hjemme', 'husk', 'det']"
stuepigen ,"['frue', 'her', 'er', 'en', 'fremmed', 'dame', '–']"
nora ,"['ja', 'lad', 'hende', 'komme', 'ind']"
stuepigen ,"['og', 'så', 'kom', 'doktoren', 'med', 'det', 'samme']"
helmer ,"['gik', 'han', 'lige', 'ind', 'til', 'mig']"
stuepigen ,"['ja', 'han', 'gjorde', 'så']"
frulinde ,"['goddag', 'nora']"
nora ,"['goddag', '–']"
frulinde ,"['du', 'kender', 'mig', 'nok', 'ikke', 'igen']"
nora ,"['nej', 'jeg', 'ved', 'ikke', '–', 'jo', 'visst', 'jeg', 'synes', 'nok', '–', 'hvad', 'kristine', 'er', 'det', 'virkelig', 'dig']"
frulinde ,"['ja', 'det', 'er', 'mig']"
nora ,"['kristine', 'og', 'jeg', 'som', 'ikke', 'kendte', 'dig', 'igen', 'men', 'hvor', 'kunde', 'jeg', 'også', '–', 'hvor', 'du', 'er', 'bleven', 'forandret', 'kristine']"
